"","X1","Publication","Title","Tagline","Author","Category","City","day","month","year","sentiment.WordCount","sentiment.SentimentGI","sentiment.NegativityGI","sentiment.PositivityGI","sentiment.SentimentHE","sentiment.NegativityHE","sentiment.PositivityHE","sentiment.SentimentLM","sentiment.NegativityLM","sentiment.PositivityLM","sentiment.RatioUncertaintyLM","sentiment.SentimentQDAP","sentiment.NegativityQDAP","sentiment.PositivityQDAP","SS","sentiment.WordCount","sentiment.SentimentGI","sentiment.NegativityGI","sentiment.PositivityGI","sentiment.SentimentHE","sentiment.NegativityHE","sentiment.PositivityHE","sentiment.SentimentLM","sentiment.NegativityLM","sentiment.PositivityLM","sentiment.RatioUncertaintyLM","sentiment.SentimentQDAP","sentiment.NegativityQDAP","sentiment.PositivityQDAP","sentiment2.WordCount","sentiment2.SentimentGI","sentiment2.NegativityGI","sentiment2.PositivityGI","sentiment2.SentimentHE","sentiment2.NegativityHE","sentiment2.PositivityHE","sentiment2.SentimentLM","sentiment2.NegativityLM","sentiment2.PositivityLM","sentiment2.RatioUncertaintyLM","sentiment2.SentimentQDAP","sentiment2.NegativityQDAP","sentiment2.PositivityQDAP","SS2"
"1",  1,"Fox News","Trump vows 'second wave' of coronavirus won't shut down US",NA,NA,"us","national", 1,6,2020, 7, 0.00000000,0.00000000,0.00000000, 0.00000000,0.0000000,0.00000000,-0.14285714,0.14285714,0.00000000,0.00000000, 0.14285714,0.00000000,0.14285714, 1, 7.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.14285714, 0.14285714, 0.00000000, 0.00000000, 0.14285714, 0.00000000, 0.14285714, 0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",  2,"Fox News","Trump, in Michigan: 'We're not going to close the country' if there's a 2nd wave of coronavirus cases","President Trump acknowledged on Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again.",NA,"politics","national", 1,6,2020, 8, 0.00000000,0.12500000,0.12500000, 0.00000000,0.0000000,0.00000000,-0.12500000,0.12500000,0.00000000,0.00000000, 0.12500000,0.00000000,0.12500000, 1, 8.00000000, 0.00000000, 0.12500000, 0.12500000, 0.00000000, 0.00000000, 0.00000000,-0.12500000, 0.12500000, 0.00000000, 0.00000000, 0.12500000, 0.00000000, 0.12500000,17.00000000,-0.05882353, 0.17647059, 0.11764706, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.11764706, 0.11764706, 0
"3",  3,"Fox News","Second, deadlier wave of coronavirus could be on the way later this year, CDC director warns","President Trump acknowledged on Thursday that there could be a second wave of the coronavirus epidemic later this year, but flatly stated he wouldn’t let any further outbreaks shutter the economy again.",NA,"us","national", 1,5,2020,10, 0.00000000,0.00000000,0.00000000, 0.00000000,0.0000000,0.00000000,-0.10000000,0.10000000,0.00000000,0.00000000,-0.10000000,0.10000000,0.00000000,-1,10.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.10000000, 0.10000000, 0.00000000, 0.00000000,-0.10000000, 0.10000000, 0.00000000,17.00000000,-0.05882353, 0.17647059, 0.11764706, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.11764706, 0.11764706, 0
"4",  4,"Fox News","South Korea struggles with new spikes, but WHO disputes claim of 'second wave'","The country was touted as a prime example early during the pandemic, but has stumbled with a return to normal.",NA,"world","national",28,6,2020, 9,-0.22222222,0.22222222,0.00000000, 0.00000000,0.0000000,0.00000000,-0.22222222,0.22222222,0.00000000,0.00000000,-0.22222222,0.22222222,0.00000000,-1, 9.00000000,-0.22222222, 0.22222222, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.22222222, 0.22222222, 0.00000000, 0.00000000,-0.22222222, 0.22222222, 0.00000000, 9.00000000, 0.33333333, 0.00000000, 0.33333333, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.22222222, 0.22222222, 0.00000000,-1
"5",  5,"Fox News","Trump criticizes Sweden's no-lockdown stance after WHO praise, claims US made ‘correct decision’","President Trump on Thursday took aim at Sweden’s decision to not order lockdowns in response to the coronavirus epidemic, claiming the U.S. made “the correct decision” after the World Health Organization praised the Scandinavian country’s more moderate approach.",NA,"politics","national", 1,5,2020,10, 0.00000000,0.10000000,0.10000000, 0.00000000,0.0000000,0.00000000,-0.20000000,0.20000000,0.00000000,0.00000000, 0.10000000,0.10000000,0.20000000, 1,10.00000000, 0.00000000, 0.10000000, 0.10000000, 0.00000000, 0.00000000, 0.00000000,-0.20000000, 0.20000000, 0.00000000, 0.00000000, 0.10000000, 0.10000000, 0.20000000,24.00000000, 0.25000000, 0.08333333, 0.33333333, 0.00000000, 0.00000000, 0.00000000,-0.08333333, 0.08333333, 0.00000000, 0.00000000, 0.25000000, 0.04166667, 0.29166667, 1
"6",  6,"Fox News","Fred Fleitz: After coronavirus pandemic ends, investigations must review responses by China, US and others","While work to find treatments and a vaccine to protect us from the coronavirus accelerates around the world – and as we sadly see a growing number of hospitalizations and deaths caused by the virus – it’s not too early to plan how to review the American and international responses to the pandemic once it has ended.",NA,"opinion","national", 1,4,2020,11, 0.09090909,0.00000000,0.09090909, 0.00000000,0.0000000,0.00000000,-0.09090909,0.09090909,0.00000000,0.00000000, 0.09090909,0.00000000,0.09090909, 1,11.00000000, 0.09090909, 0.00000000, 0.09090909, 0.00000000, 0.00000000, 0.00000000,-0.09090909, 0.09090909, 0.00000000, 0.00000000, 0.09090909, 0.00000000, 0.09090909,25.00000000, 0.04000000, 0.08000000, 0.12000000, 0.04000000, 0.00000000, 0.04000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.04000000, 0.12000000, 0.16000000, 1
"7",  7,"Fox News","MSNBC anchor surprised by Trump's high approval ratings: People see him as a leader 'no matter what he says'","MSNBC anchor Andrea Mitchell seemed surprised on Wednesday that people saw President Trump as a leader given the way he handled the coronavirus pandemic.",NA,"media","national", 1,4,2020,12, 0.08333333,0.08333333,0.16666667, 0.16666667,0.0000000,0.16666667, 0.00000000,0.00000000,0.00000000,0.00000000, 0.16666667,0.00000000,0.16666667, 1,12.00000000, 0.08333333, 0.08333333, 0.16666667, 0.16666667, 0.00000000, 0.16666667, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.16666667, 0.00000000, 0.16666667,17.00000000, 0.00000000, 0.00000000, 0.00000000, 0.05882353, 0.00000000, 0.05882353, 0.00000000, 0.00000000, 0.00000000, 0.05882353, 0.05882353, 0.00000000, 0.05882353, 1
"8",  8,"Fox News","States send mixed messages on whether coronavirus rebound could trigger second round of shutdowns","As most states move to at least partially reopen their economies and lift orders requiring people to stay at home to slow the spread of the coronavirus, they are sending mixed messages on whether or not the controversial restrictions could be fully or partially re-implemented if there is another increase of cases.",NA,"politics","national", 1,6,2020,11, 0.09090909,0.09090909,0.18181818, 0.00000000,0.0000000,0.00000000, 0.00000000,0.09090909,0.09090909,0.00000000, 0.09090909,0.00000000,0.09090909, 1,11.00000000, 0.09090909, 0.09090909, 0.18181818, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.09090909, 0.09090909, 0.00000000, 0.09090909, 0.00000000, 0.09090909,27.00000000,-0.07407407, 0.18518519, 0.11111111, 0.00000000, 0.03703704, 0.03703704,-0.07407407, 0.07407407, 0.00000000, 0.00000000,-0.11111111, 0.18518519, 0.07407407,-1
"9",  9,"Fox News","More than 100 million people in China face new lockdown as second wave of COVID-19 cases emerge","Nearly 108 million people in China's Jilin province are being forced back on lockdown after a growing group of new coronavirus infections has triggered a backslide in the nation's push to return to normal.",NA,"world","national", 1,6,2020,11,-0.09090909,0.09090909,0.00000000, 0.00000000,0.0000000,0.00000000, 0.00000000,0.00000000,0.00000000,0.00000000,-0.09090909,0.09090909,0.00000000,-1,11.00000000,-0.09090909, 0.09090909, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.09090909, 0.09090909, 0.00000000,20.00000000, 0.00000000, 0.15000000, 0.15000000, 0.05000000, 0.00000000, 0.05000000,-0.05000000, 0.05000000, 0.00000000, 0.05000000,-0.10000000, 0.10000000, 0.00000000,-1
"10", 10,"Fox News","China reports largest uptick in coronavirus cases in more than a month, says most were 'imported'","China on Monday reported its largest uptick in new coronavirus infections in more than a month, but said most of them are imported.",NA,"world","national", 1,4,2020, 9, 0.11111111,0.00000000,0.11111111, 0.11111111,0.0000000,0.11111111, 0.00000000,0.00000000,0.00000000,0.00000000, 0.11111111,0.00000000,0.11111111, 1, 9.00000000, 0.11111111, 0.00000000, 0.11111111, 0.11111111, 0.00000000, 0.11111111, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.11111111, 0.00000000, 0.11111111,11.00000000, 0.00000000, 0.09090909, 0.09090909, 0.09090909, 0.00000000, 0.09090909, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.09090909, 0.09090909, 0
"11", 11,"Fox News","China reports largest uptick in coronavirus cases in more than a month, says most were 'imported'","China on Monday reported its largest uptick in new coronavirus infections in more than a month, but said most of them are imported.",NA,"world","national", 1,4,2020, 9, 0.11111111,0.00000000,0.11111111, 0.11111111,0.0000000,0.11111111, 0.00000000,0.00000000,0.00000000,0.00000000, 0.11111111,0.00000000,0.11111111, 1, 9.00000000, 0.11111111, 0.00000000, 0.11111111, 0.11111111, 0.00000000, 0.11111111, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.11111111, 0.00000000, 0.11111111,11.00000000, 0.00000000, 0.09090909, 0.09090909, 0.09090909, 0.00000000, 0.09090909, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.09090909, 0.09090909, 0
"12", 12,"Fox News","Ex-NYT reporter Berenson warns of 'big pivot' from officials to justify lockdown strategy","Former New York Times reporter Alex Berenson -- who has quickly become of one of the key figures in a growing movement questioning the strategy to lock down large sections of the country in response to the coronavirus crisis -- is warning of a “big pivot” in rhetoric from politicians and health officials pushing the strategy.",NA,"politics","national", 1,4,2020,10, 0.10000000,0.00000000,0.10000000, 0.00000000,0.0000000,0.00000000,-0.20000000,0.20000000,0.00000000,0.00000000,-0.20000000,0.20000000,0.00000000,-1,10.00000000, 0.10000000, 0.00000000, 0.10000000, 0.00000000, 0.00000000, 0.00000000,-0.20000000, 0.20000000, 0.00000000, 0.00000000,-0.20000000, 0.20000000, 0.00000000,32.00000000,-0.03125000, 0.09375000, 0.06250000, 0.03125000, 0.00000000, 0.03125000,-0.09375000, 0.09375000, 0.00000000, 0.00000000,-0.06250000, 0.15625000, 0.09375000,-1
"13", 13,"Fox News","Sen. Tim Kaine and wife test positive for coronavirus antibodies","Virginia Democratic Sen. Tim Kaine and his wife have tested positive for coronavirus antibodies, according to the senator's office, a result that if accurate would indicate that both the former Democratic vice-presidential nominee and his spouse had the disease earlier this year as the pandemic as spread across the U.S., killing more than 100,000 Americans.",NA,"politics","national", 1,6,2020, 8, 0.12500000,0.00000000,0.12500000, 0.12500000,0.0000000,0.12500000, 0.12500000,0.00000000,0.12500000,0.00000000, 0.12500000,0.00000000,0.12500000, 1, 8.00000000, 0.12500000, 0.00000000, 0.12500000, 0.12500000, 0.00000000, 0.12500000, 0.12500000, 0.00000000, 0.12500000, 0.00000000, 0.12500000, 0.00000000, 0.12500000,29.00000000, 0.06896552, 0.06896552, 0.13793103, 0.03448276, 0.00000000, 0.03448276, 0.03448276, 0.00000000, 0.03448276, 0.00000000, 0.03448276, 0.03448276, 0.06896552, 1
"14", 14,"Fox News","Coronavirus experts send mixed messages on transmission, potential second wave","Virginia Democratic Sen. Tim Kaine and his wife have tested positive for coronavirus antibodies, according to the senator's office, a result that if accurate would indicate that both the former Democratic vice-presidential nominee and his spouse had the disease earlier this year as the pandemic as spread across the U.S., killing more than 100,000 Americans.",NA,"transcript","national", 1,6,2020, 9, 0.00000000,0.11111111,0.11111111, 0.00000000,0.0000000,0.00000000, 0.00000000,0.00000000,0.00000000,0.00000000, 0.11111111,0.00000000,0.11111111, 1, 9.00000000, 0.00000000, 0.11111111, 0.11111111, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.11111111, 0.00000000, 0.11111111,29.00000000, 0.06896552, 0.06896552, 0.13793103, 0.03448276, 0.00000000, 0.03448276, 0.03448276, 0.00000000, 0.03448276, 0.00000000, 0.03448276, 0.03448276, 0.06896552, 1
"15", 15,"Fox News","Kudlow: There is no 'second spike' in COVID-19 cases, not going to shut down economy","White House National Economic Council Director Larry Kudlow reported Friday that U.S. health experts told him there is no second spike of the coronavirus, but that certain spots are seeing a ""jump up.""",NA,"media","national", 1,6,2020, 7, 0.00000000,0.00000000,0.00000000, 0.00000000,0.0000000,0.00000000,-0.14285714,0.14285714,0.00000000,0.00000000, 0.00000000,0.00000000,0.00000000, 0, 7.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.14285714, 0.14285714, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,20.00000000, 0.15000000, 0.05000000, 0.20000000, 0.05000000, 0.00000000, 0.05000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.15000000, 0.00000000, 0.15000000, 1
"16", 16,"Fox News","Ari Fleischer: Donald Trump, Barack Obama and a second wave terror threat","Fear of terrorism in the United States is helping drive Donald Trump’s candidacy.",NA,"opinion","national", 1,1,2015,10,-0.20000000,0.20000000,0.00000000,-0.10000000,0.1000000,0.00000000,-0.10000000,0.10000000,0.00000000,0.00000000,-0.10000000,0.20000000,0.10000000,-1,10.00000000,-0.20000000, 0.20000000, 0.00000000,-0.10000000, 0.10000000, 0.00000000,-0.10000000, 0.10000000, 0.00000000, 0.00000000,-0.10000000, 0.20000000, 0.10000000, 9.00000000,-0.22222222, 0.44444444, 0.22222222, 0.00000000, 0.00000000, 0.00000000,-0.11111111, 0.11111111, 0.00000000, 0.00000000, 0.00000000, 0.22222222, 0.22222222, 0
"17", 17,"Fox News","Trump to 'suspend immigration into the United States' by executive order amid coronavirus","President Trump announced late Monday he will soon sign an executive order ""to temporarily suspend immigration into the United States"" in a drastic escalation of his efforts to fight the coronavirus pandemic and boost the economy.",NA,"politics","national", 1,5,2020, 9,-0.11111111,0.33333333,0.22222222, 0.00000000,0.0000000,0.00000000,-0.11111111,0.11111111,0.00000000,0.00000000, 0.33333333,0.00000000,0.33333333, 1, 9.00000000,-0.11111111, 0.33333333, 0.22222222, 0.00000000, 0.00000000, 0.00000000,-0.11111111, 0.11111111, 0.00000000, 0.00000000, 0.33333333, 0.00000000, 0.33333333,23.00000000,-0.04347826, 0.21739130, 0.17391304, 0.00000000, 0.00000000, 0.00000000,-0.17391304, 0.21739130, 0.04347826, 0.00000000, 0.17391304, 0.04347826, 0.21739130, 1
"18", 18,"Fox News","Could George Floyd protesters cause a spike in coronavirus cases? Johns Hopkins doctor explains","Fox News spoke with Dr. Amesh Adalja, an infectious disease physician and senior scholar for Johns Hopkins Center for Health Security, who says mass gatherings won’t help herd immunity anytime soon.",NA,"media","national", 1,6,2020,11,-0.09090909,0.09090909,0.00000000, 0.00000000,0.0000000,0.00000000,-0.09090909,0.09090909,0.00000000,0.00000000,-0.09090909,0.09090909,0.00000000,-1,11.00000000,-0.09090909, 0.09090909, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.09090909, 0.09090909, 0.00000000, 0.00000000,-0.09090909, 0.09090909, 0.00000000,24.00000000, 0.04166667, 0.08333333, 0.12500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.12500000, 0.00000000, 0.12500000, 1
"19", 19,"Fox News","Trump 'disagrees strongly' with Georgia governor's plan to reopen some businesses","In a head-turning moment at Wednesday's coronavirus briefing, President Trump told reporters that he ""disagrees strongly"" with Georgia Republican Gov. Brian Kemp's plan to reopen some businesses in his state, including gyms, barbershops and nail salons, on Friday.",NA,"politics","national", 1,5,2020, 8,-0.12500000,0.12500000,0.00000000, 0.12500000,0.0000000,0.12500000, 0.00000000,0.12500000,0.12500000,0.00000000, 0.12500000,0.12500000,0.25000000, 1, 8.00000000,-0.12500000, 0.12500000, 0.00000000, 0.12500000, 0.00000000, 0.12500000, 0.00000000, 0.12500000, 0.12500000, 0.00000000, 0.12500000, 0.12500000, 0.25000000,26.00000000, 0.03846154, 0.03846154, 0.07692308, 0.03846154, 0.00000000, 0.03846154, 0.00000000, 0.03846154, 0.03846154, 0.00000000, 0.11538462, 0.03846154, 0.15384615, 1
"20", 20,"Fox News","Coronavirus: Trump has declared major disaster in all 50 states at once, first time in history","President Trump issued a major disaster declaration for Wyoming on Saturday, meaning that there is now such a declaration within all 50 states due to the COVID-19 pandemic.",NA,"politics","national", 1,4,2020, 9, 0.11111111,0.11111111,0.22222222, 0.00000000,0.0000000,0.00000000,-0.11111111,0.11111111,0.00000000,0.00000000, 0.22222222,0.11111111,0.33333333, 1, 9.00000000, 0.11111111, 0.11111111, 0.22222222, 0.00000000, 0.00000000, 0.00000000,-0.11111111, 0.11111111, 0.00000000, 0.00000000, 0.22222222, 0.11111111, 0.33333333,16.00000000, 0.00000000, 0.12500000, 0.12500000, 0.00000000, 0.00000000, 0.00000000,-0.06250000, 0.06250000, 0.00000000, 0.00000000,-0.06250000, 0.18750000, 0.12500000,-1
"21", 21,"Fox News","Wuhan tested millions of people for COVID-19 in just days: Could US cities do the same?","The city of Wuhan, China, where the COVID-19 outbreak first emerged, recently launched a campaign to test every one of its 11 million residents for the virus.",NA,"science","national", 1,6,2020, 8, 0.12500000,0.00000000,0.12500000, 0.00000000,0.0000000,0.00000000, 0.00000000,0.00000000,0.00000000,0.00000000, 0.12500000,0.00000000,0.12500000, 1, 8.00000000, 0.12500000, 0.00000000, 0.12500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.12500000, 0.00000000, 0.12500000,16.00000000,-0.12500000, 0.12500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000,-0.18750000, 0.18750000, 0.00000000,-1
"22", 22,"Fox News","US coronavirus cases surpass 2M, spike in many areas while Europe’s decline, CDC says","Confirmed cases of the coronavirus passed the 2 million mark in the U.S. on Wednesday, with infection rates in many areas appearing to spike -- despite declines in infections throughout Europe, according to a report.",NA,"health","national", 1,6,2020,10, 0.00000000,0.10000000,0.10000000,-0.10000000,0.1000000,0.00000000, 0.00000000,0.10000000,0.10000000,0.00000000, 0.00000000,0.10000000,0.10000000, 0,10.00000000, 0.00000000, 0.10000000, 0.10000000,-0.10000000, 0.10000000, 0.00000000, 0.00000000, 0.10000000, 0.10000000, 0.00000000, 0.00000000, 0.10000000, 0.10000000,20.00000000,-0.10000000, 0.20000000, 0.10000000,-0.05000000, 0.05000000, 0.00000000, 0.00000000, 0.05000000, 0.05000000, 0.05000000,-0.20000000, 0.20000000, 0.00000000,-1
"23", 23,"Fox News","Inside China's high-stakes campaign to smear the United States over coronavirus","It's a high-stakes strategy for the Asian nation fighting to keep its superpower status amid a national lockdown and palpable anger over claims of a cover-up made worse by an economic crisis.",NA,"us","national", 1,3,2020, 8, 0.00000000,0.12500000,0.12500000, 0.00000000,0.0000000,0.00000000, 0.00000000,0.00000000,0.00000000,0.00000000, 0.00000000,0.12500000,0.12500000, 0, 8.00000000, 0.00000000, 0.12500000, 0.12500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.12500000, 0.12500000,19.00000000,-0.15789474, 0.21052632, 0.05263158,-0.05263158, 0.05263158, 0.00000000,-0.15789474, 0.15789474, 0.00000000, 0.00000000,-0.10526316, 0.15789474, 0.05263158,-1
